"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Occupied housing units","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2021","TotalFedAction_2021","Ratio","Year","state","Disasters","2021"
"1",5039877,0.485,0.515,0.058,0.165,39.8,53913,1967559,0.325,0.66,0.009,0.006,2021,"Alabama",0.223,1,"AL",2361392532.58,53636806043.29,0.0440255993370323,2021,"AL",30,67.15
"2",732673,0.523,0.477,0.063,0.182,35.6,77845,271311,0.531,0.138,0.321,0.01,2021,"Alaska",0.245,2,"AK",1383697063.44,15564522440.06,0.0889007079252646,2021,"AK",5,69.14
"3",7276316,0.499,0.501,0.055,0.167,38.6,69056,2817723,0.36,0.599,0.031,0.01,2021,"Arizona",0.222,4,"AZ",2675371539.19,102157516706.08,0.0261886900294119,2021,"AZ",8,71.21
"4",3025891,0.494,0.506,0.059,0.173,38.5,52528,1183675,0.43,0.533,0.031,0.005,2021,"Arkansas",0.232,5,"AR",1613140473.26,33978864526.68,0.0474748198837949,2021,NA,NA,67.11
"5",39237836,0.5,0.5,0.056,0.167,37.6,84907,13429063,0.643,0.297,0.029,0.031,2021,"California",0.223,6,"CA",17869357179.61,423578947497.73,0.0421866036666182,2021,"CA",37,74.12
"6",5812069,0.506,0.494,0.053,0.161,37.6,82254,2313042,0.709,0.261,0.025,0.004,2021,"Colorado",0.214,8,"CO",2912054915.49,52617882316.29,0.0553434457507321,2021,"CO",4,71.71
"7",3605597,0.49,0.51,0.049,0.152,41.1,83771,1428313,0.411,0.181,0.401,0.007,2021,"Connecticut",0.201,9,"CT",1985348359.19,86171119664.72,0.0230396026756379,2021,"CT",20,75.65
"8",1003384,0.484,0.516,0.053,0.155,41.6,71091,395656,0.519,0.374,0.101,0.007,2021,"Delaware",0.208,10,"DE",632529050.99,12119282461.28,0.0521919555065139,2021,"DE",2,72.62
"9",670050,0.476,0.524,0.061,0.127,34.8,90088,319565,0.512,0.445,0.025,0.019,2021,"District of Columbia",0.188,11,"DC",1063770680.3,22126062523.66,0.0480777218794569,2021,"DC",1,79.77
"10",21781128,0.492,0.508,0.05,0.147,42.8,63062,8565329,0.061,0.907,0.007,0.025,2021,"Florida",0.197,12,"FL",5870031630.88,253994507896.19,0.0231108604650583,2021,"FL",74,72.53
"11",10799566,0.488,0.512,0.058,0.176,37.5,66559,4001109,0.424,0.562,0.008,0.006,2021,"Georgia",0.234,13,"GA",4224901495.9,93534078140.06,0.0451696491793455,2021,"GA",30,71.04
"12",1441553,0.503,0.497,0.056,0.155,40.2,84857,490080,0.052,0.443,0.049,0.456,2021,"Hawaii",0.211,15,"HI",812537382.66,17354987837.1,0.0468186662120862,2021,"HI",2,71.87
"13",1900923,0.502,0.498,0.059,0.188,37.3,66474,693882,0.562,0.351,0.084,0.004,2021,"Idaho",0.247,16,"ID",905362983.08,17909912362.65,0.0505509443456618,2021,"ID",6,67.83
"14",12671469,0.494,0.506,0.056,0.165,39,72205,4991641,0.797,0.184,0.011,0.008,2021,"Illinois",0.221,17,"IL",6453695298.97,129066268197.68,0.0500029588605244,2021,NA,NA,75.82
"15",6805985,0.496,0.504,0.06,0.173,38.2,62743,2680694,0.659,0.308,0.028,0.004,2021,"Indiana",0.233,18,"IN",3231102572.74,166495035927.17,0.0194066000511474,2021,NA,NA,68.96
"16",3193079,0.502,0.498,0.059,0.172,38.5,65600,1300467,0.73,0.242,0.023,0.005,2021,"Iowa",0.231,19,"IA",2208859169.6,32213130217.54,0.0685701499569663,2021,NA,NA,69.37
"17",2934582,0.502,0.498,0.061,0.179,37.3,64124,1159026,0.705,0.272,0.018,0.005,2021,"Kansas",0.24,20,"KS",1629202351.18,27453422047.54,0.0593442357881205,2021,NA,NA,67.85
"18",4509394,0.494,0.506,0.057,0.168,39.1,55573,1785682,0.412,0.552,0.031,0.005,2021,"Kentucky",0.225,21,"KY",2155220517.26,130451473959.27,0.0165212431247263,2021,"KY",95,66.36
"19",4624047,0.489,0.511,0.061,0.173,38,52087,1783924,0.338,0.651,0.006,0.005,2021,"Louisiana",0.234,22,"LA",2499799525.54,59888434030.7,0.0417409398993227,2021,"LA",554,66.52
"20",1372247,0.491,0.509,0.044,0.137,44.7,64767,593626,0.213,0.103,0.681,0.003,2021,"Maine",0.181,23,"ME",1109073936.1,17080333623.63,0.0649328028678338,2021,NA,NA,72.15
"21",6165129,0.487,0.513,0.057,0.164,39.3,90203,2355652,0.466,0.434,0.092,0.008,2021,"Maryland",0.221,24,"MD",2947913133.18,60693921908.95,0.0485701539867915,2021,"MD",3,76.35
"22",6984723,0.488,0.512,0.05,0.145,39.9,89645,2759018,0.559,0.178,0.257,0.006,2021,"Massachusetts",0.195,25,"MA",5290216210.56,82841095183.4,0.0638598053158051,2021,"MA",1,77.35
"23",10050811,0.495,0.505,0.054,0.16,40.2,63498,4051798,0.836,0.118,0.04,0.006,2021,"Michigan",0.214,26,"MI",4086024117.46,117802541074.88,0.0346853648501755,2021,"MI",5,73.71
"24",5707390,0.501,0.499,0.058,0.171,38.8,77720,2281033,0.758,0.194,0.039,0.01,2021,"Minnesota",0.229,27,"MN",3132860218.85,174545959274.39,0.0179486264355457,2021,NA,NA,71.5
"25",2949965,0.487,0.513,0.059,0.176,38.6,48716,1129611,0.392,0.589,0.011,0.007,2021,"Mississippi",0.235,28,"MS",1752128485.45,33187805038.63,0.0527943467008606,2021,"MS",170,69.33
"26",6168187,0.494,0.506,0.057,0.167,39.2,61847,2468726,0.58,0.383,0.032,0.004,2021,"Missouri",0.224,29,"MO",3331143442.36,67978548796.86,0.0490028619515612,2021,"MO",21,68.34
"27",1104271,0.508,0.492,0.051,0.162,40.1,63249,448949,0.639,0.269,0.088,0.004,2021,"Montana",0.213,30,"MT",1260001445.29,14142453626.75,0.0890935532506713,2021,"MT",12,68.22
"28",1963692,0.502,0.498,0.063,0.182,37.2,66817,785982,0.659,0.318,0.019,0.004,2021,"Nebraska",0.245,31,"NE",1253292181.72,23179268877.4,0.0540695303354443,2021,"NE",14,67.98
"29",3143991,0.504,0.496,0.056,0.166,38.7,66274,1191380,0.604,0.362,0.026,0.008,2021,"Nevada",0.222,32,"NV",1086344803.91,29690016996.73,0.0365895649042454,2021,"NV",3,71.17
"30",1388992,0.499,0.501,0.045,0.14,43.1,88465,548026,0.409,0.107,0.476,0.008,2021,"New Hampshire",0.185,33,"NH",740078235.64,14029092597.2,0.0527531079086119,2021,"NH",1,73.48
"31",9267130,0.492,0.508,0.056,0.162,40.3,89296,3497945,0.753,0.159,0.08,0.009,2021,"New Jersey",0.218,34,"NJ",4217779182.64,89812279444.42,0.0469621660727379,2021,"NJ",58,77.82
"32",2115877,0.497,0.503,0.054,0.169,39.1,53992,834007,0.673,0.24,0.08,0.006,2021,"New Mexico",0.223,35,"NM",1178252113.8,28654562591.07,0.0411191798882037,2021,"NM",1,70.48
"33",19835913,0.489,0.511,0.055,0.152,39.8,74314,7652666,0.637,0.146,0.199,0.017,2021,"New York",0.207,36,"NY",11937313847.89,246804621279.73,0.0483674648634726,2021,"NY",61,78.19
"34",10551162,0.488,0.512,0.055,0.163,39.4,61972,4179632,0.306,0.651,0.037,0.006,2021,"North Carolina",0.218,37,"NC",3553208499.58,105751239239.02,0.0335996866339221,2021,"NC",46,71.51
"35",774948,0.516,0.484,0.066,0.17,35.8,66519,322511,0.54,0.411,0.041,0.009,2021,"North Dakota",0.236,38,"ND",1259491419.01,74306820644.23,0.0169498763113585,2021,"ND",15,63.16
"36",11780017,0.493,0.507,0.057,0.164,39.6,62262,4832922,0.695,0.257,0.042,0.005,2021,"Ohio",0.221,39,"OH",5015210075.25,122713772266.78,0.0408691704493194,2021,NA,NA,70.9
"37",3986639,0.498,0.502,0.061,0.18,37.2,55826,1547967,0.566,0.408,0.022,0.004,2021,"Oklahoma",0.241,40,"OK",2063169236.43,48828740798.19,0.042253173084211,2021,"OK",183,65.67
"38",4246155,0.5,0.5,0.05,0.153,40.1,71562,1702599,0.398,0.523,0.073,0.006,2021,"Oregon",0.203,41,"OR",2013520987.67,53893956052.83,0.0373607939579761,2021,"OR",11,72.16
"39",12964056,0.494,0.506,0.052,0.154,40.9,68957,5228956,0.563,0.246,0.185,0.006,2021,"Pennsylvania",0.206,42,"PA",5618895491.97,235403780514.59,0.023869181198735,2021,"PA",13,72.9
"40",1095610,0.49,0.51,0.048,0.142,40.6,74008,440170,0.575,0.116,0.306,0.003,2021,"Rhode Island",0.19,44,"RI",1016541826.02,14897282863.16,0.0682367271506834,2021,"RI",6,73.94
"41",5190705,0.486,0.514,0.053,0.162,40.2,59318,2049972,0.269,0.71,0.015,0.006,2021,"South Carolina",0.215,45,"SC",1913291268.96,115273879048.8,0.0165977868077991,2021,NA,NA,69.35
"42",895376,0.505,0.495,0.065,0.182,37.6,66143,356887,0.623,0.33,0.039,0.008,2021,"South Dakota",0.247,46,"SD",1278578680.46,12299416326.1,0.103954419182217,2021,"SD",1,68.49
"43",6975218,0.489,0.511,0.057,0.163,39.2,59695,2770395,0.345,0.633,0.017,0.005,2021,"Tennessee",0.22,47,"TN",2673919148.33,97928300940.88,0.0273048661381786,2021,"TN",42,68.13
"44",29527941,0.499,0.501,0.064,0.188,35.5,66963,10796247,0.368,0.619,0.008,0.006,2021,"Texas",0.252,48,"TX",11072126560.41,272944642000.95,0.0405654658733747,2021,"TX",513,69.51
"45",3337975,0.508,0.492,0.07,0.213,31.8,79449,1101499,0.799,0.18,0.018,0.003,2021,"Utah",0.283,49,"UT",1278265058.84,23906104159.69,0.0534702371537135,2021,"UT",8,67.72
"46",645570,0.496,0.504,0.042,0.139,42.9,72431,270163,0.38,0.083,0.534,0.003,2021,"Vermont",0.181,50,"VT",642063011.55,8922705877.94,0.0719583297189478,2021,"VT",16,75.71
"47",8642274,0.495,0.505,0.056,0.162,38.8,80963,3331461,0.366,0.572,0.055,0.006,2021,"Virginia",0.218,51,"VA",2933802616.47,82250264931.34,0.0356692178307152,2021,"VA",33,73.24
"48",7738692,0.504,0.496,0.056,0.161,38.2,84247,3022255,0.367,0.576,0.05,0.007,2021,"Washington",0.217,53,"WA",4139285990.86,77854353386.91,0.0531670460390203,2021,"WA",38,73
"49",1782959,0.498,0.502,0.05,0.153,42.8,51248,722201,0.464,0.453,0.08,0.003,2021,"West Virginia",0.203,54,"WV",1234313630.16,23717471087.92,0.0520423794587726,2021,"WV",12,62.75
