"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2022","TotalFedAction_2022","Ratio","Year","state","fipsStateCode","Disasters","2022"
"1",5074296,0.485,0.515,0.056,0.163,39.6,59674,0.306,0.677,0.01,0.007,2022,"Alabama",0.219,1,"AL",2374751465.92,46615099559.6,0.0509438248197614,2022,"AL",1,2,68.41
"2",733583,0.526,0.474,0.063,0.176,35.9,88121,0.499,0.153,0.343,0.006,2022,"Alaska",0.239,2,"AK",1687717804.43,11506748272.07,0.146672001900533,2022,"AK",2,16,71.07
"3",7359197,0.5,0.5,0.053,0.162,38.8,74568,0.358,0.602,0.03,0.01,2022,"Arizona",0.215,4,"AZ",2728855066.04,91203376711.07,0.0299205486073717,2022,"AZ",4,4,72.52
"4",3045637,0.494,0.506,0.058,0.17,38.9,55432,0.418,0.547,0.03,0.005,2022,"Arkansas",0.228,5,"AR",1792918891.8,29989161635.1,0.0597855623180051,2022,"AR",5,5,68.33
"5",39029342,0.501,0.499,0.054,0.163,37.9,91551,0.638,0.3,0.031,0.031,2022,"California",0.217,6,"CA",18326422090.36,367283830356.8,0.0498971655587361,2022,"CA",6,7,75.79
"6",5839926,0.507,0.493,0.052,0.155,37.7,89302,0.704,0.263,0.028,0.005,2022,"Colorado",0.207,8,"CO",2670991210.12,45275284768.71,0.0589944651649311,2022,"CO",8,2,74.12
"7",3626205,0.49,0.51,0.049,0.152,40.9,88429,0.423,0.183,0.388,0.006,2022,"Connecticut",0.201,9,"CT",2240289005.08,90180403318.18,0.0248423041220572,2022,"CT",9,7,77.34
"8",1018396,0.486,0.514,0.053,0.151,41.5,82174,0.539,0.349,0.104,0.007,2022,"Delaware",0.204,10,"DE",634404972.24,10141377654.8,0.062556093839946,2022,"DE",10,1,73.44
"9",671803,0.476,0.524,0.058,0.127,34.9,101027,0.487,0.469,0.019,0.024,2022,"District of Columbia",0.185,11,"DC",1266868517.35,19706728458.14,0.0642860899027972,2022,NA,NA,NA,81.7
"10",22244823,0.492,0.508,0.05,0.144,42.7,69303,0.064,0.902,0.008,0.025,2022,"Florida",0.194,12,"FL",5890770773.57,229713092962.52,0.0256440357734904,2022,"FL",12,147,73.92
"11",10912876,0.488,0.512,0.057,0.173,37.6,72837,0.417,0.567,0.008,0.008,2022,"Georgia",0.23,13,"GA",4166526375.84,79923607284.57,0.0521313604002504,2022,NA,NA,NA,72.21
"12",1440196,0.504,0.496,0.055,0.151,40.8,92458,0.05,0.422,0.053,0.474,2022,"Hawaii",0.206,15,"HI",879090645.72,13649504378.91,0.0644045835890051,2022,"HI",15,2,75.86
"13",1939033,0.504,0.496,0.058,0.182,37.5,72785,0.565,0.354,0.077,0.005,2022,"Idaho",0.24,16,"ID",1023082728.1,15592018425.64,0.0656157977864887,2022,"ID",16,4,70.17
"14",12582032,0.495,0.505,0.054,0.162,39.1,76708,0.791,0.19,0.011,0.008,2022,"Illinois",0.216,17,"IL",6302024530.3,104364290831.66,0.0603848737923701,2022,"IL",17,14,77.11
