"","State","Year","Total_EE_Investment","Political_Score","Disasters","Total population","Female","child","Median age (years)","Median household income (dollars)","Gas","Electricity"
"1","Alabama",2021,2361392532.58,67.15,30,5039877,0.515,0.223,39.8,53913,0.325,0.66
"2","Alaska",2021,1383697063.44,69.14,5,732673,0.477,0.245,35.6,77845,0.531,0.138
"3","Arizona",2021,2675371539.19,71.21,8,7276316,0.501,0.222,38.6,69056,0.36,0.599
"4","Arkansas",2021,1613140473.26,67.11,NA,3025891,0.506,0.232,38.5,52528,0.43,0.533
"5","California",2021,17869357179.61,74.12,37,39237836,0.5,0.223,37.6,84907,0.643,0.297
"6","Colorado",2021,2912054915.49,71.71,4,5812069,0.494,0.214,37.6,82254,0.709,0.261
"7","Connecticut",2021,1985348359.19,75.65,20,3605597,0.51,0.201,41.1,83771,0.411,0.181
"8","Delaware",2021,632529050.99,72.62,2,1003384,0.516,0.208,41.6,71091,0.519,0.374
"9","District of Columbia",2021,1063770680.3,79.77,1,670050,0.524,0.188,34.8,90088,0.512,0.445
"10","Florida",2021,5870031630.88,72.53,74,21781128,0.508,0.197,42.8,63062,0.061,0.907
"11","Georgia",2021,4224901495.9,71.04,30,10799566,0.512,0.234,37.5,66559,0.424,0.562
"12","Hawaii",2021,812537382.66,71.87,2,1441553,0.497,0.211,40.2,84857,0.052,0.443
"13","Idaho",2021,905362983.08,67.83,6,1900923,0.498,0.247,37.3,66474,0.562,0.351
"14","Illinois",2021,6453695298.97,75.82,NA,12671469,0.506,0.221,39,72205,0.797,0.184
"15","Indiana",2021,3231102572.74,68.96,NA,6805985,0.504,0.233,38.2,62743,0.659,0.308
"16","Iowa",2021,2208859169.6,69.37,NA,3193079,0.498,0.231,38.5,65600,0.73,0.242
"17","Kansas",2021,1629202351.18,67.85,NA,2934582,0.498,0.24,37.3,64124,0.705,0.272
"18","Kentucky",2021,2155220517.26,66.36,95,4509394,0.506,0.225,39.1,55573,0.412,0.552
"19","Louisiana",2021,2499799525.54,66.52,554,4624047,0.511,0.234,38,52087,0.338,0.651
"20","Maine",2021,1109073936.1,72.15,NA,1372247,0.509,0.181,44.7,64767,0.213,0.103
"21","Maryland",2021,2947913133.18,76.35,3,6165129,0.513,0.221,39.3,90203,0.466,0.434
"22","Massachusetts",2021,5290216210.56,77.35,1,6984723,0.512,0.195,39.9,89645,0.559,0.178
"23","Michigan",2021,4086024117.46,73.71,5,10050811,0.505,0.214,40.2,63498,0.836,0.118
"24","Minnesota",2021,3132860218.85,71.5,NA,5707390,0.499,0.229,38.8,77720,0.758,0.194
"25","Mississippi",2021,1752128485.45,69.33,170,2949965,0.513,0.235,38.6,48716,0.392,0.589
"26","Missouri",2021,3331143442.36,68.34,21,6168187,0.506,0.224,39.2,61847,0.58,0.383
"27","Montana",2021,1260001445.29,68.22,12,1104271,0.492,0.213,40.1,63249,0.639,0.269
"28","Nebraska",2021,1253292181.72,67.98,14,1963692,0.498,0.245,37.2,66817,0.659,0.318
"29","Nevada",2021,1086344803.91,71.17,3,3143991,0.496,0.222,38.7,66274,0.604,0.362
"30","New Hampshire",2021,740078235.64,73.48,1,1388992,0.501,0.185,43.1,88465,0.409,0.107
"31","New Jersey",2021,4217779182.64,77.82,58,9267130,0.508,0.218,40.3,89296,0.753,0.159
"32","New Mexico",2021,1178252113.8,70.48,1,2115877,0.503,0.223,39.1,53992,0.673,0.24
"33","New York",2021,11937313847.89,78.19,61,19835913,0.511,0.207,39.8,74314,0.637,0.146
"34","North Carolina",2021,3553208499.58,71.51,46,10551162,0.512,0.218,39.4,61972,0.306,0.651
"35","North Dakota",2021,1259491419.01,63.16,15,774948,0.484,0.236,35.8,66519,0.54,0.411
"36","Ohio",2021,5015210075.25,70.9,NA,11780017,0.507,0.221,39.6,62262,0.695,0.257
"37","Oklahoma",2021,2063169236.43,65.67,183,3986639,0.502,0.241,37.2,55826,0.566,0.408
"38","Oregon",2021,2013520987.67,72.16,11,4246155,0.5,0.203,40.1,71562,0.398,0.523
"39","Pennsylvania",2021,5618895491.97,72.9,13,12964056,0.506,0.206,40.9,68957,0.563,0.246
"40","Rhode Island",2021,1016541826.02,73.94,6,1095610,0.51,0.19,40.6,74008,0.575,0.116
"41","South Carolina",2021,1913291268.96,69.35,NA,5190705,0.514,0.215,40.2,59318,0.269,0.71
"42","South Dakota",2021,1278578680.46,68.49,1,895376,0.495,0.247,37.6,66143,0.623,0.33
"43","Tennessee",2021,2673919148.33,68.13,42,6975218,0.511,0.22,39.2,59695,0.345,0.633
"44","Texas",2021,11072126560.41,69.51,513,29527941,0.501,0.252,35.5,66963,0.368,0.619
"45","Utah",2021,1278265058.84,67.72,8,3337975,0.492,0.283,31.8,79449,0.799,0.18
"46","Vermont",2021,642063011.55,75.71,16,645570,0.504,0.181,42.9,72431,0.38,0.083
"47","Virginia",2021,2933802616.47,73.24,33,8642274,0.505,0.218,38.8,80963,0.366,0.572
"48","Washington",2021,4139285990.86,73,38,7738692,0.496,0.217,38.2,84247,0.367,0.576
"49","West Virginia",2021,1234313630.16,62.75,12,1782959,0.502,0.203,42.8,51248,0.464,0.453
"50","Wisconsin",2021,2678830345.64,72.36,NA,5895908,0.499,0.216,40.1,67125,0.767,0.175
"51","Wyoming",2021,679521143.25,62.29,NA,578803,0.489,0.227,39,65204,0.704,0.238
"52","Alabama",2022,2374751465.92,68.41,2,5074296,0.515,0.219,39.6,59674,0.306,0.677
"53","Alabama  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alaska",2022,1687717804.43,71.07,16,733583,0.474,0.239,35.9,88121,0.499,0.153
"55","Alaska  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Arizona",2022,2728855066.04,72.52,4,7359197,0.5,0.215,38.8,74568,0.358,0.602
"57","Arizona  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Arkansas",2022,1792918891.8,68.33,5,3045637,0.506,0.228,38.9,55432,0.418,0.547
"59","Arkansas  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","California",2022,18326422090.36,75.79,7,39029342,0.499,0.217,37.9,91551,0.638,0.3
"61","California  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Colorado",2022,2670991210.12,74.12,2,5839926,0.493,0.207,37.7,89302,0.704,0.263
"63","Colorado  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Connecticut",2022,2240289005.08,77.34,7,3626205,0.51,0.201,40.9,88429,0.423,0.183
"65","Connecticut  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Delaware",2022,634404972.24,73.44,1,1018396,0.514,0.204,41.5,82174,0.539,0.349
"67","Delaware  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","District of Columbia",2022,1266868517.35,81.7,NA,671803,0.524,0.185,34.9,101027,0.487,0.469
"69","District of Columbia  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Florida",2022,5890770773.57,73.92,147,22244823,0.508,0.194,42.7,69303,0.064,0.902
